tier,title,name,game,url,start_date,end_date,is_multi_day,prize,region,location,n_participants,first_place,second_place,first_place_abbrv,second_place_abbrv,first_place_has_page,second_place_has_page,scrape_time
A,2016,Halo World Championship 2016 - Paris,Halo 5: Guardians,https://liquipedia.net/halo/Halo_World_Championship/2016/EMEA/Paris,2016-01-23,2016-01-23,FALSE,24024,France,"Paris, France",4,Pulse Gaming,Team Vitality,PuLse,Vitality,FALSE,FALSE,2021-12-30T14:52:33Z
A,2015,PGL Indianapolis 2015,Halo 2: Anniversary,https://liquipedia.net/halo/Halo_Championship_Series/Season_2/Indianapolis,2015-06-26,2015-06-28,TRUE,50000,United States,"Indianpolis, United States",32,Evil Geniuses,Counter Logic Gaming,EG,CLG,FALSE,FALSE,2021-12-30T14:52:33Z
A,2015,Iron Games Atlanta 2015,Halo 2: Anniversary,https://liquipedia.net/halo/Iron_Games/Atlanta/2015,2015-04-17,2015-04-19,TRUE,25000,United States,"Atlanta, United States",32,Evil Geniuses,Denial eSports,EG,DNL,FALSE,FALSE,2021-12-30T14:52:33Z
A,2014,Halo MCC Launch Invitational,Halo 2: Anniversary,https://liquipedia.net/halo/Halo_MCC_Launch_Invitational,2014-11-08,2014-11-09,TRUE,50000,United States,"California, United States",8,Believe The Hype,Str8 Rippin,BTH,Str8,TRUE,FALSE,2021-12-30T14:52:33Z
A,2012,MLG Winter Championship 2012,Halo Reach,https://liquipedia.net/halo/MLG/2012/Columbus,2012-03-23,2012-03-25,TRUE,56000,United States,"Columbus, United States",8,Status Quo,Instinct,SQ,Instinct,FALSE,TRUE,2021-12-30T14:52:33Z
A,2011,MLG Orlando 2011,Halo Reach,https://liquipedia.net/halo/MLG/2011/Orlando,2011-10-14,2011-10-16,TRUE,56000,United States,"Orlando, United States",8,Dynasty,Infamous,Dynasty,Infamous,TRUE,TRUE,2021-12-30T14:52:33Z
A,2011,MLG Raleigh 2011,Halo Reach,https://liquipedia.net/halo/MLG/2011/Raleigh,2011-08-26,2011-08-28,TRUE,56000,United States,"Raleigh, United States",8,Infamous,Instinct,Infamous,Instinct,TRUE,TRUE,2021-12-30T14:52:33Z
A,2011,MLG Anaheim 2011,Halo Reach,https://liquipedia.net/halo/MLG/2011/Anaheim,2011-07-29,2011-07-31,TRUE,56000,United States,"Anaheim, United States",8,Instinct,Status Quo,Instinct,SQ,TRUE,FALSE,2021-12-30T14:52:33Z
A,2011,MLG Columbus 2011,Halo Reach,https://liquipedia.net/halo/MLG/2011/Columbus,2011-06-03,2011-06-05,TRUE,56000,United States,"Columbus, United States",8,Instinct,Str8 Rippin,Instinct,Str8,TRUE,FALSE,2021-12-30T14:52:33Z
A,2010,MLG Washington D.C 2010,Halo 3,https://liquipedia.net/halo/MLG/2010/Washington_D.C,2010-10-15,2010-10-17,TRUE,56000,United States,"Washington D.C, United States",8,Final Boss,Triggers Down,FB,TD,FALSE,TRUE,2021-12-30T14:52:33Z
